Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling,DateTime,DateTime_rounded,GHI,DNI,DHI,Clearsky GHI,Clearsky DNI,Clearsky DHI,Solar Zenith Angle,Aerosol Optical Depth,Precipitable Water,Ozone,Cloud Type,Surface Albedo,Mapped_Latitude,Mapped_Longitude,DateTime_NREL,Clearness_Index,DNI_Clearness,Diffuse_Fraction,Solar_Elevation,Hour_sin,Hour_cos,Month_sin,Month_cos
Camp Murray,20171203,1145,47.11,-122.57,84,201712000000.0,12,11,Winter,81.71997,12.86919,2.42769,5,10.0,1010.6,722,2017-12-03 11:45:00,2017-12-03 12:00:00,90,38,83,140,571,43,80.15,0.055,0.9,0.34,8,0.12,47.11,-122.57,2017-12-03 12:00:00,0.6428571428571429,0.06654991243432574,0.9222222222222223,9.849999999999994,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0
Camp Murray,20171203,1315,47.11,-122.57,84,201712000000.0,12,13,Winter,96.64917,9.66415,2.46273,0,10.0,1011.3,23,2017-12-03 13:15:00,2017-12-03 13:00:00,9,0,9,28,238,17,87.45,0.047,1.3,0.388,8,0.12,47.11,-122.57,2017-12-03 13:00:00,0.32142857142857145,0.0,1.0,2.549999999999997,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171204,1230,47.11,-122.57,84,201712000000.0,12,12,Winter,77.21558,10.36659,1.65364,5,2.0,1024.4,6,2017-12-04 12:30:00,2017-12-04 12:30:00,80,458,30,80,458,30,83.75,0.04,1.3,0.295,1,0.12,47.11,-122.57,2017-12-04 12:30:00,1.0,1.0,0.375,6.25,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171205,1115,47.11,-122.57,84,201712000000.0,12,11,Winter,43.55469,19.41269,3.41284,0,4.0,1025.7,722,2017-12-05 11:15:00,2017-12-05 11:00:00,251,766,45,251,766,45,74.48,0.021,1.0,0.29,0,0.12,47.11,-122.57,2017-12-05 11:00:00,1.0,1.0,0.17928286852589642,15.519999999999996,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0
Camp Murray,20171205,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,30.56641,23.9093,4.8202,5,7.0,1026.0,722,2017-12-05 12:00:00,2017-12-05 12:00:00,143,640,35,143,640,35,80.28,0.02,1.0,0.292,1,0.12,47.11,-122.57,2017-12-05 12:00:00,1.0,1.0,0.24475524475524477,9.719999999999999,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171205,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,17.90771,32.32346,5.98127,5,10.0,1025.7,722,2017-12-05 13:00:00,2017-12-05 13:00:00,28,269,16,28,269,16,87.54,0.036,1.3,0.294,1,0.12,47.11,-122.57,2017-12-05 13:00:00,1.0,1.0,0.5714285714285714,2.4599999999999937,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171206,1130,47.11,-122.57,84,201712000000.0,12,11,Winter,26.18408,25.84541,4.67733,3,3.0,1025.7,722,2017-12-06 11:30:00,2017-12-06 11:30:00,205,743,41,205,743,41,77.22,0.019,0.6000000000000001,0.276,0,0.12,47.11,-122.57,2017-12-06 11:30:00,1.0,1.0,0.2,12.780000000000001,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0
Camp Murray,20171206,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,23.71216,27.76642,4.78501,0,5.0,1025.7,722,2017-12-06 12:00:00,2017-12-06 12:00:00,147,666,35,147,666,35,80.34,0.019,0.6000000000000001,0.276,0,0.12,47.11,-122.57,2017-12-06 12:00:00,1.0,1.0,0.23809523809523808,9.659999999999997,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171206,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,15.93628,36.06476,6.19272,0,10.0,1025.4,722,2017-12-06 13:00:00,2017-12-06 13:00:00,29,323,15,29,323,15,87.58,0.02,1.0,0.295,1,0.12,47.11,-122.57,2017-12-06 13:00:00,1.0,1.0,0.5172413793103449,2.4200000000000017,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171207,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,83.30078,8.3625,1.45144,0,0.3,1022.0,1,2017-12-07 12:00:00,2017-12-07 12:00:00,150,677,36,150,677,36,80.39,0.022,0.4,0.279,1,0.12,47.11,-122.57,2017-12-07 12:00:00,1.0,1.0,0.24,9.61,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171207,1245,47.11,-122.57,84,201712000000.0,12,12,Winter,82.89795,7.17163,2.46273,0,0.3,1022.0,2,2017-12-07 12:45:00,2017-12-07 13:00:00,31,358,16,31,358,16,87.62,0.018,0.5,0.276,1,0.12,47.11,-122.57,2017-12-07 13:00:00,1.0,1.0,0.5161290322580645,2.3799999999999955,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171207,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,82.08618,7.72049,1.65364,0,0.3,1021.7,2,2017-12-07 13:00:00,2017-12-07 13:00:00,31,358,16,31,358,16,87.62,0.018,0.5,0.276,1,0.12,47.11,-122.57,2017-12-07 13:00:00,1.0,1.0,0.5161290322580645,2.3799999999999955,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171208,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,82.72705,6.49437,1.51291,0,0.1,1021.7,1,2017-12-08 12:00:00,2017-12-08 12:00:00,149,670,37,149,670,37,80.43,0.025,0.4,0.28,1,0.12,47.11,-122.57,2017-12-08 12:00:00,1.0,1.0,0.2483221476510067,9.569999999999993,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171208,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,76.77002,8.42796,1.68883,3,0.6,1021.3,2,2017-12-08 13:00:00,2017-12-08 13:00:00,30,355,16,30,355,16,87.65,0.021,0.4,0.279,1,0.12,47.11,-122.57,2017-12-08 13:00:00,1.0,1.0,0.5333333333333333,2.3499999999999943,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171208,1315,47.11,-122.57,84,201712000000.0,12,13,Winter,79.04053,7.13387,1.65364,3,1.0,1021.0,2,2017-12-08 13:15:00,2017-12-08 13:00:00,30,355,16,30,355,16,87.65,0.021,0.4,0.279,1,0.12,47.11,-122.57,2017-12-08 13:00:00,1.0,1.0,0.5333333333333333,2.3499999999999943,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171209,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,27.74658,24.48082,4.53873,0,6.0,1019.3,722,2017-12-09 12:00:00,2017-12-09 12:00:00,119,372,57,119,372,57,80.46000000000001,0.229,0.6000000000000001,0.299,1,0.12,47.11,-122.57,2017-12-09 12:00:00,1.0,1.0,0.4789915966386555,9.539999999999992,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
